标题,参考价,京东价,京东链接,产品图片,产品参数,适用类型,内存容量,内存类型,内存主频
朗科绝影RGB 16GB（2x8G）DDR4 3600低时序电镀版,579,,,https://2a.zol-img.com.cn/product/225_320x240/46/cet0tKkRUavhs.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
光威天策系列 DDR5 5600  32GB(16GB×2),559,1099.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100049673613.html,https://2b.zol-img.com.cn/product/259_320x240/233/ceA4beSdkxcWU.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",台式机,暂无数据,DDR5,5600MHz
光威龙武系列 DDR5 6000 32GB(16GB×2),689,705.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100077568672.html,https://2f.zol-img.com.cn/product/259_320x240/863/ceZbpqaRl3ZW2.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
英睿达8GB DDR4 2666（CT8G4DFS8266）,309,,,https://2b.zol-img.com.cn/product/197_320x240/223/cehArpBeO6DwI.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
雷克沙Ares战神之翼 DDR5 6000 32GB(16GB×2) C26 黑色,999,1289.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100162675144.html,https://2e.zol-img.com.cn/product/270_320x240/868/ceGFRScSdr5s.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
雷克沙Ares战神之翼 DDR5 6000 32GB(16GB×2) C26 银色,999,1289.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100132384573.html,https://2c.zol-img.com.cn/product/270_320x240/866/ce14655jN2GYM.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
雷克沙Ares战神之翼 DDR5 7600 32GB(16GBx2) 黑色,1299,999.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100095513757.html,https://2e.zol-img.com.cn/product/262_320x240/852/cekpW2DsobqUg.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7600MHz",台式机,暂无数据,DDR5,7600MHz
七彩虹战斧·冰雪白 32GB（2×16GB）DDR4 3200,389,289.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100046944140.html,https://2c.zol-img.com.cn/product/238_320x240/422/cet1SukcUtRLY.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
先锋8GB DDR4 3200 笔记本内存条,75,,,https://2e.zol-img.com.cn/product/256_320x240/90/cevLWN9Cssw.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",笔记本,暂无数据,DDR4,3200MHz
铨兴4GB DDR4 2666（台式机）,108,59.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10028585532113.html,https://2b.zol-img.com.cn/product/215_320x240/451/ce67Pl03Fg0zI.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
光威龙武系列 DDR5 6800 32GB(16GB×2) 海力士A-die,769,849.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100072344771.html,https://2a.zol-img.com.cn/product/259_320x240/120/ce5dQNRNZOxQ.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
光威龙武系列 DDR5 6800 48GB(24GB×2) 海力士M-die,899,959.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100077487249.html,https://2a.zol-img.com.cn/product/259_320x240/120/ce5dQNRNZOxQ.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
Acer 掠夺者 Talos 8GB DDR4 3200,309,,,https://2d.zol-img.com.cn/product/226_320x240/411/ceI8mAM2pMozA.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
来酷4GB DDR4 2666台式机内存,69,48.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100054809744.html,https://2c.zol-img.com.cn/product/260_320x240/822/cey3uTUVWTk.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
来酷8GB DDR4 2666台式机内存,99,69.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100054809598.html,https://2f.zol-img.com.cn/product/260_320x240/837/ceui28lb7v.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
来酷16GB DDR4 2666台式机内存,189,138.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100054809616.html,https://2a.zol-img.com.cn/product/260_320x240/826/ceWor6UNTzth.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
联想4GB DDR4 2666,129,59.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100003233700.html,https://2e.zol-img.com.cn/product/197_320x240/784/ceGMpEg4a6c.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
英睿达16GB DDR5 5600 台式机内存条,299,299.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100051724953.html,https://2e.zol-img.com.cn/product/250_320x240/976/cejuS5gnK6UTo.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",台式机,暂无数据,DDR5,5600MHz
芝奇幻光戟 16GB（2×8GB）DDR4 3600（F4-3600C18D-16GTZR）,799,378.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100014274430.html,https://2f.zol-img.com.cn/product/226_320x240/77/ceu9sJs8cnoIM.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
金百达黑爵 8GB DDR4 3200,209,95.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100012957162.html,https://2f.zol-img.com.cn/product/205_320x240/417/cekyyYO9W7rss.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
芝奇AEGIS 8GB DDR4 2666（F4-2666C19S-8GIS）,299,,,https://2a.zol-img.com.cn/product/193_320x240/554/cecvPxn5MEfAw.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
Acer宏碁 Vesta II 炫光星舰 DDR5 6800 C34 32GB(16GB×2),879,849.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100049474061.html,https://2c.zol-img.com.cn/product/259_320x240/698/cetXXSYSI7XFo.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
梅捷8GB DDR3 1600（台式机）,149,,,https://2c.zol-img.com.cn/product/214_320x240/730/cenSt8GJpFmXM.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",台式机,暂无数据,DDR3,1600MHz
金士顿FURY Beast 16GB DDR5 4800（KF548C38BB/16）,1400,359.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10045108733463.html,https://2d.zol-img.com.cn/product/222_320x240/491/ce98dIgHDN4I2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：4800MHz",台式机,暂无数据,DDR5,4800MHz
阿斯加特女武神·瓦尔基里 2×8GB DDR4 3200,419,,,https://2d.zol-img.com.cn/product/222_320x240/149/ce0iCFD1QspqE.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
阿斯加特博拉琪 DDR5 6600 32GB（2×16GB）,899,,,https://2d.zol-img.com.cn/product/259_320x240/291/ceZ6Gyf2EoVTc.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6600MHz",台式机,暂无数据,DDR5,6600MHz
阿斯加特博拉琪 DDR5 6800 32GB（2×16GB）,799,,,https://2d.zol-img.com.cn/product/259_320x240/291/ceZ6Gyf2EoVTc.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
阿斯加特博拉琪 DDR5 7200 32GB（2×16GB）,1199,1899.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100040145786.html,https://2d.zol-img.com.cn/product/259_320x240/291/ceZ6Gyf2EoVTc.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7200MHz",台式机,暂无数据,DDR5,7200MHz
玖合32GB(16G×2)  DDR4 3200,998,,,https://2e.zol-img.com.cn/product/226_320x240/332/ceyPeewuThg2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
联想Master大师系列 8GB DDR4 3200,279,,,https://2b.zol-img.com.cn/product/226_320x240/259/ce80DYdKqbTQ.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
英睿达8GB DDR5 4800（CT8G48C40U5）,599,,,https://2f.zol-img.com.cn/product/216_320x240/103/ceo8fzHfGDQI2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：4800MHz",台式机,暂无数据,DDR5,4800MHz
朗科超光 8GB DDR4 2666,219,79.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100019224902.html,https://2c.zol-img.com.cn/product/214_320x240/808/ce6mOFcc1msis.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
来酷8GB DDR4 2666笔记本内存,99,73.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100060081171.html,https://2a.zol-img.com.cn/product/268_320x240/504/cey6RyTd4qu1Q.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
台电极速S10 DDR3 1600（8GB）,189,,,https://2b.zol-img.com.cn/product/190_320x240/633/ceYvGkljhP7ms.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",台式机,暂无数据,DDR3,1600MHz
Acer宏碁 Hermes冰刃系列 32G(16G×2) DDR5 7200 C34,1499,1099.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100076143860.html,https://2a.zol-img.com.cn/product/256_320x240/70/ce92syO7S9FSA.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7200MHz",台式机,暂无数据,DDR5,7200MHz
阿斯加特金伦加 TUF联名款 8GB DDR4 3600,209,,,https://2b.zol-img.com.cn/product/222_320x240/9/cePYa4JrdA7E.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
光威战将 32GB DDR4 2666（笔记本）,760,299.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100009325129.html,https://2d.zol-img.com.cn/product/226_320x240/931/ceCJ1Zrot1dhc.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
七彩虹战斧 8GB DDR4 3200 新马甲条,239,99.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10024220739007.html,https://2d.zol-img.com.cn/product/225_320x240/297/cej2C8gRe8i1o.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
玖合星耀 8GB DDR4 3200,108,,,https://2a.zol-img.com.cn/product/256_320x240/706/cexm2ItKt0oTE.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
英睿达Ballistix铂胜 RGB 16GB（2×8GB）DDR4 3200（BL2K8G32C16U4WL）,579,,,https://2e.zol-img.com.cn/product/215_320x240/980/ceydOVqtNcO1I.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
芝奇Ripjaws 32GB DDR4 3200,1099,398.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100014608878.html,https://2a.zol-img.com.cn/product/226_320x240/730/ceBF6RME9dHg.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",笔记本,暂无数据,DDR4,3200MHz
威刚XPG威龙 16GB DDR4 3200,609,319.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/65307966583.html,https://2e.zol-img.com.cn/product/222_320x240/492/cexdbcYYXWsWo.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
联想4GB DDR4 2400,129,59.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100003233702.html,https://2f.zol-img.com.cn/product/197_320x240/845/ceBQLezFqNdg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2400MHz",台式机,暂无数据,DDR4,2400MHz
金邦千禧 笔记本内存 DDR5 5600 16GB,249,239.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100092664053.html,https://2a.zol-img.com.cn/product/270_320x240/88/ceH9J8ruBzLP6.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",笔记本,暂无数据,DDR5,5600MHz
金邦千禧 笔记本内存 DDR5 5600 32GB（2×16GB）,509,479.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100125338997.html,https://2d.zol-img.com.cn/product/270_320x240/91/ceVLB1oD681E.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",笔记本,暂无数据,DDR5,5600MHz
金邦千禧 笔记本内存 DDR5 5600 48GB（2×24GB）,749,749.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100155516000.html,https://2b.zol-img.com.cn/product/270_320x240/89/ceQIf8Z14FG.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",笔记本,暂无数据,DDR5,5600MHz
金邦千禧 笔记本内存 DDR5 5600 64GB（2×32GB）,1099,1099.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100155516030.html,https://2b.zol-img.com.cn/product/270_320x240/89/ceQIf8Z14FG.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",笔记本,暂无数据,DDR5,5600MHz
金邦千禧 笔记本内存 DDR5 5600 16GB（2×8GB）,358,,,https://2e.zol-img.com.cn/product/270_320x240/134/ce9GInTGtzl3E.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",笔记本,暂无数据,DDR5,5600MHz
光威天策系列 DDR5 6000 32GB(16GB×2),649,499.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100094504267.html,https://2a.zol-img.com.cn/product/259_320x240/876/cevCJEKGHYM9E.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
朗科绝影RGB 16GB（2x8G）DDR4 3200低时序电镀版,559,319.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100033346120.html,https://2b.zol-img.com.cn/product/225_320x240/633/cemBxFrNfIcwU.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
芝奇Aegis 8GB DDR4 3200（F4-3200C16S-8GIS）,279,,,https://2d.zol-img.com.cn/product/206_320x240/3/cewOpQZCMWMlg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
玖合DDR4 2666 8GB,88,78.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100026575982.html,https://2b.zol-img.com.cn/product/256_320x240/419/ceToheRzgyE.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
玖合星舞 32GB(16Gx2)DDR4 4000,429,,,https://2d.zol-img.com.cn/product/256_320x240/697/cemoSqNpWK8p6.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：4000MHz",台式机,暂无数据,DDR4,4000MHz
海盗船复仇者LED 64GB DDR4 3200 （CMU64GX4M4C3200C16R）,5299,,,https://2a.zol-img.com.cn/product/178_320x240/180/ceRAM4bEBkNdg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
玖合忆界海力士 16GB（2×8GB）DDR5 6000,309,,,https://2a.zol-img.com.cn/product/239_320x240/270/cefb24GmPzQ5k.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
阿斯加特博拉琪 2×8GB DDR4 3600（B-die C14）,869,,,https://2d.zol-img.com.cn/product/222_320x240/569/ce77kwixV5mEw.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
玖合星辰 8GB DDR3 1866,229,,,https://2c.zol-img.com.cn/product/202_320x240/146/ceCcWIYIUfNBU.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1866MHz",台式机,暂无数据,DDR3,1866MHz
三星4GB DDR3L 1600（笔记本）,191,48.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/26139216295.html,https://2e.zol-img.com.cn/product/192_320x240/454/ce39JHMAZwtEE.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR3L
内存主频：1600MHz",笔记本,暂无数据,DDR3L,1600MHz
沃存8GB DDR4 3200,99,,,https://2b.zol-img.com.cn/product/245_320x240/25/cezKuB16NKw.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
